ric
AAPL
NVDA
MSFT
AMZN
META
GOOGL
TSLA
BRK-B
GOOG
AVGO
JPM
LLY
UNH
V
XOM
MA
COST
HD
PG
WMT
NFLX
JNJ
ABBV
BAC
CRM
ORCL
CVX
WFC
MRK
KO
CSCO
ADBE
ACN
PEP
AMD
LIN
NOW
DIS
MCD
IBM
ABT
PM
TMO
GE
CAT
GS
ISRG
VZ
TXN
INTU
BKNG
QCOM
AXP
SPGI
T
CMCSA
MS
NEE
RTX
PGR
LOW
DHR
AMGN
UBER
HON
UNP
ETN
PFE
TJX
BLK
AMAT
COP
BX
C
BSX
SYK
PLTR
FI
ADP
PANW
SCHW
TMUS
BMY
VRTX
DE
GILD
SBUX
MMC
LMT
BA
MDT
PLD
CB
MU
KKR
ADI
ANET
INTC
UPS
MO
SO
AMT
NKE
CI
TT
LRCX
ELV
EQIX
ICE
GEV
SHW
DUK
PH
PYPL
APH
MDLZ
PNC
CME
AON
CMG
KLAC
SNPS
MSI
USB
CDNS
WM
MCK
WELL
CRWD
REGN
ZTS
CEG
CL
MCO
CTAS
EMR
EOG
CVS
ITW
APD
COF
GD
MMM
ORLY
WMB
CSX
TDG
AJG
FDX
NOC
MAR
OKE
CARR
BDX
TFC
FCX
ECL
ADSK
NSC
GM
SLB
HLT
TRV
PCAR
ABNB
ROP
HCA
BK
DLR
TGT
FTNT
SRE
NXPI
FICO
AFL
URI
RCL
SPG
AMP
JCI
PSX
CPRT
PSA
ALL
AZO
KMI
GWW
AEP
VST
MPC
MET
ROST
CMI
O
PWR
DHI
AIG
D
NEM
FAST
HWM
MSCI
PEG
KMB
PAYX
FIS
LHX
CCI
PRU
PCG
KVUE
TEL
DFS
AXON
AME
RSG
VLO
TRGP
COR
EW
F
BKR
CTVA
CBRE
ODFL
LEN
IR
VRSK
OTIS
DAL
XEL
HES
A
KR
CTSH
IT
EXC
EA
YUM
MNST
GEHC
CHTR
VMC
ACGL
SYY
GLW
STZ
MTB
GIS
LULU
NUE
KDP
RMD
EXR
IRM
MCHP
MLM
HIG
DELL
HUM
ED
WAB
IQV
DD
IDXX
NDAQ
VICI
EIX
HPQ
OXY
AVB
CSGP
ROK
ETR
FANG
GRMN
FITB
WTW
EFX
WEC
UAL
RJF
CNC
EBAY
DXCM
DOW
TPL
XYL
TSCO
ANSS
GPN
TTWO
ON
CAH
STT
KEYS
DECK
PPG
PHM
DOV
NVR
HAL
GDDY
KHC
FTV
TROW
BR
MPWR
HPE
SW
CHD
AWK
EQT
TYL
BRO
VLTO
VTR
SYF
EQR
CPAY
MTD
HBAN
DTE
ADM
PPL
HSY
CCL
AEE
NTAP
CINF
RF
HUBB
SBAC
PTC
DVN
CDW
ATO
WST
WY
WDC
BIIB
IFF
WBD
ES
EXPE
WAT
ZBH
TDY
CBOE
NTRS
LDOS
PKG
LYV
FE
K
LYB
CFG
BLDR
STE
CNP
CMS
STX
ZBRA
DRI
CLX
STLD
FSLR
COO
OMC
NRG
LH
IP
ESS
CTRA
INVH
MKC
WRB
SNA
LUV
MAA
BALL
PODD
PFG
FDS
HOLX
TSN
DGX
LVS
KEY
PNR
ULTA
TRMB
J
GPC
SMCI
TER
MAS
IEX
MOH
KIM
BBY
ARE
NI
EL
EXPD
BAX
EG
DG
GEN
DPZ
AVY
LNT
ALGN
VRSN
CF
TXT
L
VTRS
DOC
JBHT
AMCR
JBL
EVRG
APTV
MRNA
FFIV
DLTR
POOL
ROL
RVTY
AKAM
NDSN
TPR
EPAM
UDR
SWKS
SWK
CPT
KMX
CAG
HST
ALB
JKHY
DAY
BG
SJM
REG
CHRW
ALLE
EMN
UHS
INCY
BXP
TECH
JNPR
NCLH
AIZ
IPG
GNRC
PAYC
CTLT
LW
NWSA
ERIE
TAP
PNW
FOXA
LKQ
CRL
GL
SOLV
MKTX
HSIC
ENPH
HRL
AES
CPB
TFX
RL
AOS
FRT
MGM
WYNN
MTCH
HAS
APA
CZR
MOS
IVZ
CE
BWA
HII
BF-B
DVA
FMC
MHK
BEN
WBA
QRVO
PARA
FOX
NWS
AMTM
